Customer ID,Customer Name,Email,Phone Number,City,State,Country,Postal Code
1000,Neel Iyengar,lila65763@gmail.com,2407581814,Dehradun,Uttarakhand,India,247826
1001,Tristan Seshadri,ladli46783@gmail.com,00606853615,Pune,Maharashtra,India,051522
1002,Bhavini Sodhi,dchaudhari90@gmail.com,2779010432,Chandigarh,Chandigarh,India,143410
1003,Oni Shankar,kevin51897@gmail.com,+911798089324,Hyderabad,Telangana,India,095396
1004,Frederick Viswanathan,alexanderparmar109@gmail.com,01888880670,Shimla,Himachal Pradesh,India,540515
1005,Hemang Natarajan,karishaan507@gmail.com,+910585277221,Vadodara,Gujarat,India,043030
1006,Dayita Varma,jyoti78124@gmail.com,08740345054,Pune,Maharashtra,India,566765
1007,Watika Tank,kotaraksha232@gmail.com,08416169284,Vadodara,Gujarat,India,115447
1008,Ojas Sawhney,nilima12295@gmail.com,07059640165,Surat,Gujarat,India,029702
1009,Warinder Peri,nilima56804@gmail.com,06909275571,Delhi,Delhi,India,856543
1010,Atharv Grewal,dgandhi380@gmail.com,08681447394,Surat,Gujarat,India,312172
1011,Gagan Nagarajan,cseshadri315@gmail.com,5188442258,Bengaluru,Karnataka,India,132370
1012,Jyoti Sibal,meghana24306@gmail.com,2911467866,Indore,Madhya Pradesh,India,251778
1013,Kabir Gopal,fsarma623@gmail.com,+916801824225,Noida,Uttar Pradesh,India,584143
1014,Jeremiah Mitter,kabirsoman169@gmail.com,8182992299,Vadodara,Gujarat,India,900109
1015,Shivansh Saha,hviswanathan69@gmail.com,0784473647,Vadodara,Gujarat,India,027677
1016,Harini Dhawan,hthakkar701@gmail.com,05562588153,Kochi,Kerala,India,147321
1017,Bina Rajagopalan,damyanti30442@gmail.com,6325953278,Bhopal,Madhya Pradesh,India,747016
1018,Wridesh Kale,mray280@gmail.com,5004797480,Panaji,Goa,India,624565
1019,Nandini Behl,williamdate652@gmail.com,8358416878,Jaipur,Rajasthan,India,991216
1020,Harinakshi Pau,faris22152@gmail.com,+913986800025,Kolkata,West Bengal,India,872982
1021,Eiravati Gaba,joshua81608@gmail.com,09495888794,Noida,Uttar Pradesh,India,055169
1022,Avi Som,lajitawalia180@gmail.com,09930972896,Gurgaon,Haryana,India,309130
1023,Dipta Sahota,qvyas25@gmail.com,+916368970283,Bhopal,Madhya Pradesh,India,786527
1024,Irya Lalla,balayganga377@gmail.com,7334843443,Pune,Maharashtra,India,575844
1025,Ladli Rana,vsastry790@gmail.com,02404157473,Jaipur,Rajasthan,India,848421
1026,Xavier Bedi,amaradeep979@gmail.com,8330165712,Chandigarh,Chandigarh,India,826773
1027,Ekani Mangal,dbansal324@gmail.com,0193802620,Ahmedabad,Gujarat,India,724004
1028,Gautami Mane,mitalyashica796@gmail.com,08872874315,Noida,Uttar Pradesh,India,742054
1029,Parth Ravi,nayarkaran68@gmail.com,08516122753,Mysuru,Karnataka,India,463745
1030,Advay Lal,aishanibumb529@gmail.com,5301742684,Lucknow,Uttar Pradesh,India,459332
1031,Michael Sha,amarabora40@gmail.com,9568783391,Nagpur,Maharashtra,India,851910
1032,Mason Gala,bhargavaveer109@gmail.com,08713971870,Bhopal,Madhya Pradesh,India,286790
1033,Darika Bains,bratti65@gmail.com,04039106518,Panaji,Goa,India,170462
1034,Osha Prasad,radhakrishnanfarhan923@gmail.com,07661825128,Bhubaneswar,Odisha,India,823004
1035,Panini Wali,baldevika620@gmail.com,03375243106,Panaji,Goa,India,331190
1036,Chanakya Konda,advaith83559@gmail.com,0673830284,Bengaluru,Karnataka,India,959953
1037,Luke Verma,dsaini892@gmail.com,+916440892687,Mumbai,Maharashtra,India,568566
1038,Charita Puri,manbirahluwalia907@gmail.com,+918733427086,Nagpur,Maharashtra,India,882634
1039,Ganga Brar,chaitanya60711@gmail.com,05183046990,Surat,Gujarat,India,398373
1040,Chavvi Aurora,ikaur200@gmail.com,+913173936385,Vadodara,Gujarat,India,678544
1041,Yochana Tank,sainidiya243@gmail.com,01753556093,Hyderabad,Telangana,India,048996
1042,Michael Hayre,urvashi66550@gmail.com,03693785477,Bengaluru,Karnataka,India,252287
1043,Daniel Viswanathan,narayanjason559@gmail.com,+911006231203,Visakhapatnam,Andhra Pradesh,India,509977
1044,Abeer Wali,gautamsaraf215@gmail.com,6008484086,Kolkata,West Bengal,India,118233
1045,Irya Loke,chackopriya151@gmail.com,01567933410,Kochi,Kerala,India,666870
1046,Onveer Butala,ranganathanbrijesh507@gmail.com,06591803397,Jaipur,Rajasthan,India,014890
1047,Divya Babu,williamrajagopal179@gmail.com,+919261429396,Ahmedabad,Gujarat,India,621850
1048,Rajeshri Kata,andratara885@gmail.com,+915999650477,Panaji,Goa,India,586629
1049,Frederick Merchant,triyagopal531@gmail.com,+911142626551,Patna,Bihar,India,047541
1050,Gagan Grover,harshilpandya673@gmail.com,07888610158,Shimla,Himachal Pradesh,India,995604
1051,Lipika Chad,aadinaik173@gmail.com,8398262244,Bengaluru,Karnataka,India,721264
1052,Chandani Sule,wchand568@gmail.com,+915437993712,Shimla,Himachal Pradesh,India,065965
1053,Gaurika Sani,cmanne392@gmail.com,9245937526,Pune,Maharashtra,India,479356
1054,Maya Patla,patildayamai524@gmail.com,+919398280737,Patna,Bihar,India,167243
1055,Mitesh Sampath,aadhya52121@gmail.com,01797968868,Lucknow,Uttar Pradesh,India,589113
1056,Ojas Basu,randhawadayita398@gmail.com,6561014388,Chennai,Tamil Nadu,India,756798
1057,Hemani Bakshi,jasonsha494@gmail.com,01461125457,Nagpur,Maharashtra,India,875717
1058,Eiravati Bhavsar,pushtibal265@gmail.com,00105123828,Raipur,Chhattisgarh,India,586736
1059,Quincy Sankaran,thomasamble399@gmail.com,00937966033,Visakhapatnam,Andhra Pradesh,India,191825
1060,Ronith Shankar,manbir90426@gmail.com,+914785969691,Gurgaon,Haryana,India,579249
1061,Krish Munshi,gsubramanian356@gmail.com,+913412528669,Lucknow,Uttar Pradesh,India,966278
1062,Ojas Suri,bhavini3642@gmail.com,02257905072,Surat,Gujarat,India,688767
1063,Sachi Suresh,fswamy381@gmail.com,+911903404384,Ranchi,Jharkhand,India,797881
1064,Amrita Peri,sameshbiswas494@gmail.com,0783613407,Mysuru,Karnataka,India,517133
1065,Priya Gandhi,joshua3667@gmail.com,2330958498,Kochi,Kerala,India,544948
1066,Krishna Sabharwal,pradhankalpit204@gmail.com,+914223253672,Mumbai,Maharashtra,India,667116
1067,Jyoti Sha,rsachdeva677@gmail.com,05901751863,Noida,Uttar Pradesh,India,374545
1068,Vedhika Oza,chanderwarjas575@gmail.com,0017012770,Raipur,Chhattisgarh,India,324241
